Name,Created time,ID,MODULE,Status,TAW: WW.DD,doc,ex.toe,page,parent,path to .toe,ref docs,tags,zettels
"primary note: ","May 29, 2025 9:17 PM",,,template,,,,,,,,,
"zettel: ","May 29, 2025 9:27 PM",,,template,,,,,,,,,
: network,"May 29, 2025 11:01 PM",,101.01,Not started,1.01,,,,,,,,
"exp: ","May 29, 2025 11:11 PM",,,template,,,,,,,,,
: user interface,"May 29, 2025 11:13 PM",,101.01,In progress,,,,,,,,,: the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md)
: op create dialog,"May 29, 2025 11:18 PM",,101.02,Not started,,,,,,,,,
: network anatomy,"May 29, 2025 11:18 PM",,101.03,Not started,,,,,,,,,
: cover,"May 29, 2025 11:20 PM",,,Done,0,,,0.01,,,,,
: contract,"May 29, 2025 11:22 PM",,,Done,1.01,,,0.02,,,,,
: toc,"May 30, 2025 9:57 AM",,,Done,0,,,0.03,,,,,": navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), : the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md)"
: navigating the environment,"May 30, 2025 10:09 AM",202505212346,101,Done,0,,,1,,,,"101.1, navigating the environment",": toc (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/toc%20203a70bb517c80149708ee5ffc14c2e2.md), :  Components (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Components%20203a70bb517c804ab8d0d38fac603e31.md), : Network Path (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Network%20Path%20203a70bb517c805bb3ecd4724c051a34.md), : Network (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Network%20203a70bb517c8075b343c29a80101bd1.md), : learning tips (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/learning%20tips%20203a70bb517c807cbf44fc328e51b0cd.md), : Network Editor (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Network%20Editor%20203a70bb517c80a18ac9d13890f416e3.md), : the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md), : using the op create dialog (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/using%20the%20op%20create%20dialog%20203a70bb517c80c880fbea1045450251.md), : OP Create Dialog (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/OP%20Create%20Dialog%20203a70bb517c80f8a3e4eab86dc49f73.md), : Operators (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Operators%20203a70bb517c80fdb0cfca79d6f3b16c.md)"
: learning tips,"May 30, 2025 10:17 AM",2025052199,101,Done,0,,,1.5,,,,".5pg, 101.1, navigating the environment",": navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), : the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md)"
: the user interface,"May 30, 2025 10:24 AM",202505212346,101.1,Done,0,,https://github.com/TouchDesigner/CurriculumExamples/raw/main/toxExamples/TouchDesignerFundamentals/100/101/TDFundamentals-101-userInterface.tox,1,,,": Network Path (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Network%20Path%20203a70bb517c805bb3ecd4724c051a34.md), : Network Editor (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Network%20Editor%20203a70bb517c80a18ac9d13890f416e3.md), : Network (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Network%20203a70bb517c8075b343c29a80101bd1.md)","101.1.01, navigating the environment",": toc (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/toc%20203a70bb517c80149708ee5ffc14c2e2.md), : navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), : Network Path (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Network%20Path%20203a70bb517c805bb3ecd4724c051a34.md), : Network (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Network%20203a70bb517c8075b343c29a80101bd1.md), : learning tips (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/learning%20tips%20203a70bb517c807cbf44fc328e51b0cd.md), : Network Editor (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Network%20Editor%20203a70bb517c80a18ac9d13890f416e3.md), : user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/user%20interface%20203a70bb517c8066bad7f95488185f73.md)"
: network anatomy,"May 30, 2025 10:26 AM",,,In progress,,,,,,,,,
: docs,"May 30, 2025 10:33 AM",,,template,,,,,,,,,
: Network,"May 30, 2025 10:39 AM",,101.1,In progress,,,,,,,: the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md),"101.1.01, ref, td-docs",": navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), : the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md)"
: Network Editor,"May 30, 2025 10:40 AM",,,In progress,,,,,,,: the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md),"101.1.01, ref, td-docs",": navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), : the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md)"
: Network Path,"May 30, 2025 10:44 AM",,101.1,In progress,,,,,,,: the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md),"101.1.01, ref, td-docs",": navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), : the user interface (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/the%20user%20interface%20203a70bb517c80bbbc3cd26392386f68.md)"
: using the op create dialog,"May 30, 2025 10:46 AM",2020052699,101.1,In progress,0,,,2,,,,"101.1, 101.1.02, navigating the environment",": navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), :  Components (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Components%20203a70bb517c804ab8d0d38fac603e31.md), : OP Create Dialog (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/OP%20Create%20Dialog%20203a70bb517c80f8a3e4eab86dc49f73.md), : Operators (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/Operators%20203a70bb517c80fdb0cfca79d6f3b16c.md)"
: OP Create Dialog,"May 30, 2025 10:50 AM",,,In progress,,,,,,,,"101.1.02, navigating the environment, ref, td-docs",": navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), : using the op create dialog (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/using%20the%20op%20create%20dialog%20203a70bb517c80c880fbea1045450251.md)"
: Operators,"May 30, 2025 10:55 AM",,101.1,In progress,,,,,,,,"101.1.02, navigating the environment, ref, td-docs",": navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), : using the op create dialog (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/using%20the%20op%20create%20dialog%20203a70bb517c80c880fbea1045450251.md)"
:  Components,"May 30, 2025 10:59 AM",,101.1,In progress,,,,,,,,"101.1, 101.1.02, navigating the environment, ref, td-docs",": navigating the environment (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/navigating%20the%20environment%20203a70bb517c802884f1dbf99ad1271c.md), : using the op create dialog (taw%20td%20day%2029%2084%20week%2005%2012/zettelkasten%20td/using%20the%20op%20create%20dialog%20203a70bb517c80c880fbea1045450251.md)"
": ","May 30, 2025 9:31 PM",,,Not started,,,,,,,,,
: miniproject - 101 NTE : week 1,"June 5, 2025 7:43 PM",,,In progress,,,,,,,,"project, week1",
": ","June 7, 2025 7:02 PM",,,Not started,,,,,,,,,
: 102.05 Basic Compositing,"July 22, 2025 12:44 AM",,102.05,In progress,,,,17,,,,week8,